OrderID;Date;CustomerID;Product;Category;Quantity;UnitPrice;Total;PaymentMethod;Country
1;2023-09-28 00:00:00;C6191;Tablet;Electrònica;5;430,91;2154,55;Transferència;Espanya
2;2023-08-03 00:00:00;C5426;Impressora;Oficina;2;259,53;519,06;Transferència;França
3;2023-04-10 00:00:00;C9322;Auriculars;Accessoris;5;102,66;513,3;PayPal;Portugal
4;2023-12-10 00:00:00;C7949;Cadira oficina;Oficina;2;64,94;129,88;Targeta;Itàlia
5;2023-10-04 00:00:00;C2184;Ratolí;Accessoris;4;10,05;40,2;Transferència;Portugal
6;2023-08-24 00:00:00;C9666;Impressora;Oficina;5;156,48;782,4;PayPal;Països Baixos
7;2023-07-07 00:00:00;C1189;Impressora;Oficina;2;264,15;528,3;PayPal;França
8;2023-12-30 00:00:00;C8734;Ratolí;Accessoris;3;16,34;49,02;PayPal;Espanya
9;2023-05-11 00:00:00;C4556;Portàtil;Electrònica;1;1488,26;1488,26;Transferència;França
10;2023-11-25 00:00:00;C6393;Teclat;Accessoris;5;78,79;393,95;Targeta;Itàlia
11;2023-01-14 00:00:00;C9433;Auriculars;Accessoris;4;190,8;763,2;Targeta;França
12;2023-02-22 00:00:00;C8041;Portàtil;Electrònica;2;1069,79;2139,58;Transferència;Portugal
13;2023-09-21 00:00:00;C9226;USB;Accessoris;4;35,79;143,16;PayPal;França
14;2023-02-19 00:00:00;C4943;Monitor;Electrònica;4;554,66;2218,64;Targeta;França
15;2023-09-17 00:00:00;C8989;Ratolí;Accessoris;2;62,88;125,76;PayPal;Espanya
16;2023-08-06 00:00:00;C6675;Auriculars;Accessoris;2;25,64;51,28;Targeta;Països Baixos
17;2023-09-27 00:00:00;C8629;Monitor;Electrònica;4;569,75;2279;PayPal;França
18;2023-07-09 00:00:00;C7439;Auriculars;Accessoris;1;55,28;55,28;PayPal;Alemanya
19;2023-12-04 00:00:00;C1878;Portàtil;Electrònica;5;1391,17;6955,85;Transferència;Itàlia
20;2023-08-05 00:00:00;C5859;Tablet;Electrònica;2;771,55;1543,1;Transferència;França
21;2023-02-10 00:00:00;C6276;Portàtil;Electrònica;5;1224,92;6124,6;Targeta;França
22;2023-12-11 00:00:00;C9006;Ratolí;Accessoris;1;66,15;66,15;Targeta;Itàlia
23;2023-05-16 00:00:00;C6258;USB;Accessoris;1;24,05;24,05;PayPal;Països Baixos
24;2023-10-16 00:00:00;C6892;Monitor;Electrònica;3;199,42;598,26;Transferència;Espanya
25;2023-02-10 00:00:00;C4099;Tablet;Electrònica;2;844,73;1689,46;Targeta;Portugal
26;2023-02-02 00:00:00;C8215;Mòbil;Electrònica;4;1063,1;4252,4;Transferència;França
27;2023-04-09 00:00:00;C3731;Teclat;Accessoris;5;53,94;269,7;PayPal;França
28;2023-02-04 00:00:00;C6056;Tablet;Electrònica;3;628,17;1884,51;Transferència;Portugal
29;2023-09-14 00:00:00;C2028;Auriculars;Accessoris;3;88,93;266,79;Targeta;Alemanya
30;2023-07-26 00:00:00;C6134;Portàtil;Electrònica;3;1192,89;3578,67;Targeta;Itàlia
31;2023-06-28 00:00:00;C1863;Impressora;Oficina;4;88,81;355,24;Transferència;França
32;2023-04-06 00:00:00;C7019;Cadira oficina;Oficina;4;212,74;850,96;Targeta;Itàlia
33;2023-05-23 00:00:00;C4242;Monitor;Electrònica;5;553,78;2768,9;PayPal;Alemanya
34;2023-06-09 00:00:00;C4157;Impressora;Oficina;5;121,07;605,35;Targeta;Països Baixos
35;2023-02-14 00:00:00;C3693;USB;Accessoris;2;44,62;89,24;PayPal;Alemanya
36;2023-02-13 00:00:00;C6450;Tablet;Electrònica;4;492,4;1969,6;PayPal;Itàlia
37;2023-08-19 00:00:00;C8392;Monitor;Electrònica;4;262,17;1048,68;PayPal;Itàlia
38;2023-05-01 00:00:00;C6864;Monitor;Electrònica;3;236,07;708,21;Targeta;França
39;2023-05-17 00:00:00;C5413;Tablet;Electrònica;3;378,59;1135,77;Transferència;Alemanya
40;2023-08-22 00:00:00;C1663;Portàtil;Electrònica;3;955,48;2866,44;Targeta;França
41;2023-06-29 00:00:00;C6232;Portàtil;Electrònica;1;1460,04;1460,04;PayPal;Alemanya
42;2023-02-21 00:00:00;C2291;Impressora;Oficina;2;72,71;145,42;Transferència;Espanya
43;2023-04-23 00:00:00;C2636;Impressora;Oficina;2;138,12;276,24;Transferència;Itàlia
44;2023-07-06 00:00:00;C5737;Ratolí;Accessoris;1;29,94;29,94;Targeta;França
45;2023-08-12 00:00:00;C8392;Auriculars;Accessoris;5;93,99;469,95;Transferència;Espanya
