gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
Female,54,CA,Free,26,23,0.2,Desktop,31,0,1
Other,33,DE,Family,141,62,0.34,Web,0,1,0
Male,38,AU,Premium,199,38,0.04,Mobile,0,1,1
Female,22,CA,Student,36,2,0.31,Mobile,0,1,0
Other,29,US,Family,250,57,0.36,Mobile,0,1,1
Female,17,AU,Free,219,35,0.46,Desktop,13,0,0
Female,39,UK,Premium,289,44,0.38,Desktop,0,1,0
Female,41,UK,Free,210,68,0.11,Mobile,5,0,0
Other,55,DE,Student,50,66,0.29,Web,0,1,0
Male,44,DE,Free,278,94,0.38,Mobile,44,0,0
Other,33,DE,Free,86,44,0.11,Web,37,0,0
Other,24,CA,Free,113,24,0.56,Desktop,39,0,1
Female,37,IN,Family,24,86,0.11,Desktop,0,1,0
Female,53,US,Premium,45,47,0.6,Web,0,1,0
Other,37,IN,Family,114,13,0.44,Web,0,1,1
Male,25,FR,Student,230,25,0.26,Desktop,0,1,0
Female,36,DE,Student,181,93,0.23,Mobile,0,1,0
Male,58,US,Family,120,8,0.41,Desktop,0,1,0
Female,34,DE,Family,160,32,0.35,Mobile,0,1,0
Male,35,UK,Student,281,51,0.35,Desktop,0,1,0
Female,33,AU,Student,138,60,0.6,Web,0,1,0
Male,49,AU,Premium,20,7,0.45,Desktop,0,1,0
Female,45,PK,Family,138,95,0.1,Desktop,0,1,0
Male,44,CA,Family,134,97,0.42,Web,0,1,0
Other,32,CA,Premium,133,22,0.59,Desktop,0,1,0
Female,19,US,Student,39,29,0.53,Desktop,0,1,0
Male,28,IN,Free,293,67,0.33,Mobile,23,0,1
Other,58,FR,Free,15,55,0.3,Mobile,35,0,0
Male,33,FR,Free,123,13,0.22,Desktop,7,0,0
Female,22,FR,Premium,18,12,0.39,Mobile,0,1,0
Other,44,UK,Premium,149,45,0.22,Web,0,1,0
Male,53,US,Student,72,12,0.17,Web,0,1,0
Female,49,IN,Premium,291,74,0.11,Mobile,0,1,0
Male,49,US,Family,147,52,0.43,Web,0,1,0
Female,55,FR,Premium,18,2,0.04,Mobile,0,1,0
Other,24,DE,Free,59,53,0.18,Web,28,0,1
Male,22,DE,Student,280,99,0.29,Desktop,0,1,0
Female,50,US,Family,117,98,0.04,Mobile,0,1,0
Female,42,DE,Family,47,59,0.06,Desktop,0,1,0
Male,17,DE,Family,260,44,0.5,Desktop,0,1,1
Female,51,UK,Premium,122,16,0.54,Desktop,0,1,0
Female,46,US,Student,255,14,0.39,Desktop,0,1,0
Male,22,DE,Family,49,39,0.51,Mobile,0,1,0
Male,37,DE,Family,90,89,0.4,Mobile,0,1,0
Male,39,PK,Family,288,69,0.48,Web,0,1,0
Female,18,PK,Premium,255,3,0.39,Web,0,1,0
Female,56,CA,Student,255,75,0.58,Desktop,0,1,0
Male,58,US,Family,26,23,0.08,Mobile,0,1,0
Other,59,US,Family,238,60,0.29,Desktop,0,1,0
Male,50,PK,Free,241,7,0.56,Desktop,22,0,1
Female,45,CA,Premium,124,98,0.36,Desktop,0,1,0
Other,56,FR,Premium,175,67,0.38,Web,0,1,0
Female,38,AU,Free,41,3,0.0,Desktop,43,0,1
Male,57,DE,Free,222,96,0.26,Web,15,0,0
Female,46,UK,Family,121,71,0.32,Desktop,0,1,0
Female,41,IN,Family,277,2,0.59,Web,0,1,0
Other,19,IN,Free,107,82,0.11,Desktop,12,0,1
Male,48,FR,Student,198,63,0.23,Desktop,0,1,0
Other,22,DE,Free,59,51,0.42,Desktop,19,0,0
Other,17,IN,Student,95,79,0.53,Web,0,1,1
Female,25,UK,Premium,262,23,0.17,Web,0,1,0
Other,49,PK,Student,169,26,0.56,Mobile,0,1,0
Other,59,IN,Free,25,32,0.2,Mobile,38,0,0
Female,45,CA,Family,55,67,0.51,Mobile,0,1,1
Male,45,IN,Student,161,42,0.4,Desktop,0,1,1
Other,21,FR,Family,77,42,0.56,Web,0,1,0
Male,45,DE,Free,152,32,0.49,Mobile,14,0,1
Female,45,UK,Free,156,51,0.14,Desktop,18,0,0
Other,22,AU,Student,99,43,0.17,Desktop,0,1,0
Female,56,US,Free,181,40,0.21,Mobile,10,0,0
Other,51,AU,Student,265,81,0.36,Web,0,1,0
Female,22,AU,Family,131,70,0.35,Web,0,1,0
Other,33,CA,Student,19,68,0.32,Desktop,0,1,1
Other,59,AU,Family,201,15,0.05,Mobile,0,1,0
Male,41,DE,Family,223,53,0.33,Web,0,1,0
Male,25,UK,Premium,111,83,0.19,Desktop,0,1,0
Male,41,FR,Family,81,6,0.47,Mobile,0,1,0
Other,30,FR,Family,124,73,0.43,Mobile,0,1,0
Male,23,US,Free,13,30,0.24,Mobile,32,0,0
Female,47,PK,Premium,31,72,0.53,Desktop,0,1,1
Male,34,AU,Premium,277,87,0.3,Web,0,1,0
Other,45,FR,Student,181,69,0.59,Web,0,1,0
Other,32,PK,Free,167,4,0.56,Mobile,35,0,0
Other,51,CA,Free,105,11,0.03,Web,29,0,0
Other,21,FR,Student,202,79,0.45,Desktop,0,1,0
Female,20,IN,Family,284,38,0.23,Web,0,1,0
Male,21,US,Premium,125,82,0.43,Web,0,1,0
Female,44,UK,Free,237,36,0.37,Web,20,0,0
Other,50,PK,Family,99,15,0.15,Mobile,0,1,0
Other,52,DE,Student,224,49,0.38,Desktop,0,1,0
Male,43,UK,Free,195,80,0.17,Web,28,0,0
Female,41,PK,Premium,173,85,0.22,Web,0,1,0
Female,57,IN,Family,210,7,0.25,Web,0,1,0
Other,50,UK,Free,85,7,0.45,Desktop,44,0,0
Female,35,FR,Family,93,1,0.4,Mobile,0,1,0
Other,51,IN,Student,222,97,0.03,Desktop,0,1,1
Male,34,CA,Premium,196,69,0.07,Web,0,1,0
Female,47,US,Family,215,13,0.02,Mobile,0,1,1
Male,19,PK,Family,22,45,0.29,Web,0,1,1
Female,30,UK,Student,283,13,0.02,Desktop,0,1,0
Female,27,FR,Free,40,15,0.5,Web,16,0,0
Male,25,DE,Student,251,91,0.12,Desktop,0,1,0
Female,47,AU,Family,240,61,0.56,Mobile,0,1,0
Male,33,US,Family,160,76,0.06,Web,0,1,0
Male,46,CA,Free,114,11,0.24,Web,19,0,0
Other,50,AU,Student,251,9,0.39,Web,0,1,0
Male,31,FR,Student,181,89,0.11,Desktop,0,1,1
Female,45,FR,Premium,215,16,0.26,Web,0,1,0
Male,51,FR,Student,119,11,0.05,Desktop,0,1,0
Other,33,CA,Premium,224,34,0.11,Mobile,0,1,0
Male,42,DE,Premium,31,61,0.29,Mobile,0,1,0
Male,16,CA,Family,17,10,0.27,Desktop,0,1,0
Other,31,FR,Student,174,29,0.13,Desktop,0,1,1
Male,40,AU,Family,31,48,0.33,Web,0,1,0
Male,57,FR,Student,84,40,0.58,Desktop,0,1,0
Female,17,CA,Free,198,31,0.07,Web,6,0,0
Male,31,CA,Student,272,40,0.12,Desktop,0,1,1
Other,45,UK,Family,21,73,0.16,Web,0,1,0
Male,59,PK,Family,251,47,0.14,Mobile,0,1,0
Other,49,PK,Family,95,81,0.36,Mobile,0,1,0
Male,59,IN,Student,169,20,0.18,Desktop,0,1,1
Male,47,DE,Premium,35,20,0.32,Desktop,0,1,1
Male,21,US,Free,32,34,0.52,Web,14,0,1
Female,28,DE,Free,55,67,0.53,Desktop,7,0,0
Female,47,US,Family,120,26,0.48,Desktop,0,1,0
Female,46,IN,Free,11,67,0.4,Desktop,36,0,1
Female,20,US,Premium,194,52,0.2,Mobile,0,1,0
Female,34,PK,Premium,81,85,0.29,Web,0,1,0
Other,24,DE,Free,217,52,0.45,Web,23,0,0
Male,40,US,Premium,11,11,0.42,Web,0,1,1
Male,48,UK,Free,72,35,0.53,Desktop,22,0,0
Other,47,PK,Premium,162,94,0.29,Desktop,0,1,0
Female,33,IN,Family,271,57,0.36,Mobile,0,1,1
Male,20,US,Premium,218,6,0.02,Desktop,0,1,1
Other,55,DE,Family,94,24,0.3,Web,0,1,0
Male,58,CA,Student,295,72,0.43,Desktop,0,1,0
Other,41,US,Premium,286,35,0.42,Desktop,0,1,0
Other,53,US,Student,298,37,0.5,Mobile,0,1,0
Female,50,CA,Family,261,20,0.39,Desktop,0,1,1
Other,55,US,Free,201,82,0.5,Desktop,27,0,1
Female,56,US,Free,40,84,0.56,Web,49,0,0
Other,18,AU,Premium,30,78,0.42,Mobile,0,1,0
Male,29,CA,Student,109,88,0.45,Web,0,1,1
Female,28,UK,Premium,171,19,0.48,Mobile,0,1,1
Male,24,PK,Family,223,31,0.09,Mobile,0,1,0
Other,44,AU,Family,52,17,0.2,Desktop,0,1,0
Other,18,IN,Family,195,94,0.49,Desktop,0,1,0
Other,40,PK,Premium,198,78,0.0,Desktop,0,1,0
Other,22,DE,Student,285,2,0.3,Desktop,0,1,0
